variant,duration_sec,tracking_cycles,max_lateral_error_m,max_heading_error_rad,reverse_commands,terminal_zero_commands,source
pid_off_straight,22.370928613,139,0.00011067314147425927,0.006937047516136725,0,20,acceptance_logs/pid_supplemental_20260822/report.json
pi_straight,21.719662124,162,8.813142868271366e-05,0.006058956590138235,0,20,acceptance_logs/pid_supplemental_20260822/report.json
